strategy,offered_load_tps,validator_count,static_shard_count,throughput_tps,mean_confirmation_latency_ms,p95_confirmation_latency_ms,queue_length_mean,shard_count_mean,shard_reconfiguration_count,overload_rate
unsharded_baseline,50,4,0,38.0,1486.0401150535297,2784.5734373826267,182.9,1.0,0,0.9
static_sharding,50,4,4,50.766666666666666,115.11251886397545,130.38000042169853,0.0,4.0,0,0.0
dynamic_sharding,50,4,0,55.35016666666669,191.50980690489436,381.18376546428595,12.543833333333339,1.55,16,0.13333333333333333
unsharded_baseline,50,16,0,35.51401869158876,1979.510704194308,3509.5124271476475,247.51121495327104,1.0,0,0.9833333333333333
static_sharding,50,16,4,49.166666666666664,122.5822784140105,136.64164224098727,0.0,4.0,0,0.0
dynamic_sharding,50,16,0,56.71383696780891,199.963412337389,359.84088393854876,11.725069228106618,1.75,12,0.1
unsharded_baseline,50,64,0,33.3333333333333,1813.5357272677263,3251.456798900485,224.26666666666677,1.0,0,0.95
static_sharding,50,64,4,49.86666666666667,131.02815035238427,146.43048714938615,0.0,4.0,0,0.0
dynamic_sharding,50,64,0,54.777777777777786,198.8756190025031,348.6373690689389,9.875925925925934,1.9166666666666667,11,0.1
unsharded_baseline,150,4,0,38.0,13485.454286268696,24824.316612223505,1782.75,1.0,0,1.0
static_sharding,150,4,4,146.6,123.82486558166124,155.04240244215464,1.1291666666666667,4.0,0,0.0
dynamic_sharding,150,4,0,170.2399999999999,258.8618596390994,331.11832679689707,19.129083518518595,4.733333333333333,4,0.06666666666666667
unsharded_baseline,150,16,0,35.51401869158876,13229.069100788864,24717.097443825485,1747.4778816199384,1.0,0,1.0
static_sharding,150,16,4,141.7884735202491,295.7455919803928,484.5659888441496,22.980724299065535,4.0,0,0.26666666666666666
dynamic_sharding,150,16,0,177.20928348909644,234.4346499728632,350.4902532741406,15.410312801548466,5.3,7,0.1
unsharded_baseline,150,64,0,33.3333333333333,13262.198025012143,24780.899133467243,1750.7666666666673,1.0,0,1.0
static_sharding,150,64,4,133.3333333333332,613.9650559289951,1015.7664337136241,64.3958333333335,4.0,0,0.8166666666666667
dynamic_sharding,150,64,0,174.5933333333333,251.95114790288437,350.62472622972035,16.669509542705992,5.566666666666666,9,0.11666666666666667
unsharded_baseline,300,4,0,38.0,29146.723967312246,54669.59525531878,3870.9,1.0,0,1.0
static_sharding,300,4,4,152.0,4197.149963982072,7851.591962376532,544.2666666666667,4.0,0,0.9833333333333333
dynamic_sharding,300,4,0,342.30399999999975,271.88278812317174,358.1941639491739,22.471155578448272,9.55,10,0.16666666666666666
unsharded_baseline,300,16,0,35.51401869158876,29859.38756408624,55838.46937160844,3964.8278816199386,1.0,0,1.0
static_sharding,300,16,4,142.05607476635504,4705.878141401937,8456.10429692553,611.015381619938,4.0,0,0.9833333333333333
dynamic_sharding,300,16,0,328.43364485981266,330.17314256606306,428.4021822911383,27.985953879221135,9.8,10,0.48333333333333334
unsharded_baseline,300,64,0,33.3333333333333,29567.97617921907,55429.00200998435,3924.916666666666,1.0,0,1.0
static_sharding,300,64,4,133.3333333333332,4810.134062165914,8743.622730647581,623.879166666667,4.0,0,0.9833333333333333
dynamic_sharding,300,64,0,316.2666666666666,386.9011572654933,609.4881739361008,33.955403778712565,10.05,10,0.48333333333333334
unsharded_baseline,500,4,0,38.0,51929.84585959575,97357.504561658,6908.633333333333,1.0,0,1.0
static_sharding,500,4,4,152.0,9980.890630564227,18631.924229466025,1315.4458333333334,4.0,0,1.0
dynamic_sharding,500,4,0,404.31999999999965,1391.3632039414586,3108.4837016314145,164.5419598666959,11.25,10,1.0
unsharded_baseline,500,16,0,35.51401869158876,53122.00913596397,99172.98862888759,7066.5112149532715,1.0,0,1.0
static_sharding,500,16,4,142.05607476635504,10243.702070202165,19321.67406300722,1349.4528816199384,4.0,0,1.0
dynamic_sharding,500,16,0,377.8691588785042,1567.1012280502223,3518.221687053703,185.19044867439513,11.25,10,1.0
unsharded_baseline,500,64,0,33.3333333333333,53850.31700954785,100019.66440987722,7162.600000000001,1.0,0,1.0
static_sharding,500,64,4,133.3333333333332,10658.610983208164,19827.74478623423,1403.65,4.0,0,1.0
dynamic_sharding,500,64,0,354.66666666666663,1882.4079166991296,4035.2824010756567,223.61924853081854,11.25,10,1.0
