epsilon,delta,sigma,sensitivity_tier,simulated_accuracy,simulated_loss,privacy_overhead,utility_drop_percent,benchmark_type
0.1,1e-05,24.224026313026943,low,0.6670320268238541,0.4049172179915882,48.44805262605389,14.483073484121272,standard_gaussian_mechanism_simulation
0.3,1e-05,8.07467543767565,low,0.7040029156226575,0.350972781323214,16.1493508753513,9.743215945813146,standard_gaussian_mechanism_simulation
0.5,1e-05,4.844805262605389,low,0.7171090838678191,0.3325273106688629,9.689610525210778,8.062937965664217,standard_gaussian_mechanism_simulation
1.0,1e-05,2.4224026313026945,low,0.7333756336582187,0.3100972477061899,4.844805262605389,5.977482864330943,standard_gaussian_mechanism_simulation
2.0,1e-05,1.2112013156513473,low,0.7504075586238271,0.28713880854790574,2.4224026313026945,3.7939027405349863,standard_gaussian_mechanism_simulation
4.0,1e-05,0.6056006578256736,low,0.7594609862927699,0.2751463258854603,1.2112013156513473,2.6332068855423207,standard_gaussian_mechanism_simulation
8.0,1e-05,0.3028003289128368,low,0.7709825127693793,0.26008958690900164,0.6056006578256736,1.1560881064898307,standard_gaussian_mechanism_simulation
0.1,1e-05,48.44805262605389,medium,0.633828567300272,0.45597675968921114,48.44805262605389,18.739927269195896,standard_gaussian_mechanism_simulation
0.3,1e-05,16.1493508753513,medium,0.6635625626186288,0.41013213784100855,16.1493508753513,14.927876587355287,standard_gaussian_mechanism_simulation
0.5,1e-05,9.689610525210778,medium,0.6795935702223644,0.3862603503498283,9.689610525210778,12.872619202260971,standard_gaussian_mechanism_simulation
1.0,1e-05,4.844805262605389,medium,0.7051650034900088,0.349323456051154,4.844805262605389,9.59423032179375,standard_gaussian_mechanism_simulation
2.0,1e-05,2.4224026313026945,medium,0.7233655490458881,0.32384058425606393,2.4224026313026945,7.260827045398961,standard_gaussian_mechanism_simulation
4.0,1e-05,1.2112013156513473,medium,0.7376478987605056,0.3042886701815478,1.2112013156513473,5.429756569165948,standard_gaussian_mechanism_simulation
8.0,1e-05,0.6056006578256736,medium,0.744705700333923,0.2947661717575388,0.6056006578256736,4.5249102135996155,standard_gaussian_mechanism_simulation
0.1,1e-05,72.67207893908083,high,0.5943961569132217,0.5202092510886854,48.44805262605389,23.795364498304917,standard_gaussian_mechanism_simulation
0.3,1e-05,24.224026313026947,high,0.6348083189882573,0.4544321855193159,16.1493508753513,18.614318078428553,standard_gaussian_mechanism_simulation
0.5,1e-05,14.534415787816167,high,0.6436161140527338,0.44065282680516066,9.689610525210778,17.48511358298285,standard_gaussian_mechanism_simulation
1.0,1e-05,7.2672078939080835,high,0.6692391477869455,0.40161381219772657,4.844805262605389,14.200109258083915,standard_gaussian_mechanism_simulation
2.0,1e-05,3.6336039469540418,high,0.6837283855954825,0.3801945373061394,2.4224026313026945,12.342514667245831,standard_gaussian_mechanism_simulation
4.0,1e-05,1.8168019734770209,high,0.7035957724094793,0.351551274650885,1.2112013156513473,9.795413793656497,standard_gaussian_mechanism_simulation
8.0,1e-05,0.9084009867385104,high,0.715013759938989,0.335453491803391,0.6056006578256736,8.331569238591161,standard_gaussian_mechanism_simulation
