reviewer5_comment,required_revision,new_experiment_or_text_revision,output_files,manuscript_location,interpretation,limitation_statement
Benchmark too limited to a single lightweight model.,Compare multiple backbone sizes and separate backbone quality from blockchain workflow effects.,experiments/run_medqa_backbone_comparison.py,results/medqa_backbone_comparison.csv; figures/fig_backbone_accuracy_latency_tradeoff.*,Main Figure 3; MedQA workflow evaluation,Absolute accuracy is backbone-dependent; blockchain preserves predictions while adding auditability.,Reported backbone rows are real evaluations; unevaluated larger models should remain excluded until real predictions are available.
No baseline.,"Report no-blockchain versus blockchain accuracy, latency, cost, and auditability.",Backbone workflows plus prior baseline_comparison.,results/baseline_comparison.csv; results/medqa_backbone_comparison.csv,Main Table 2,Blockchain increases latency/cost but adds full audit coverage in the modeled workflow.,Prototype overhead should be remeasured on production consortium infrastructure.
No ablation.,Keep previous sharding and workflow ablations and connect them to backbone study.,No new code; integrate results/sharding_ablation.csv and backbone comparison.,results/sharding_ablation.csv; figures/fig_sharding_*,Main Figure 2; Supplementary ablation,Dynamic sharding improves scaling trends independent of LLM backbone.,Sharding evidence remains simulation unless validated on a larger devnet.
No real-world deployment metrics.,"Add end-to-end latency, throughput/cost proxies, audit coverage, and review flags.",experiments/run_backbone_cost_scalability.py,results/backbone_cost_scalability.csv; figures/fig_backbone_cost_*,Main Table 3,Normalized deployment metrics show the cost-latency-accuracy frontier.,Normalized cost is not a dollar estimate.
No error analysis.,"Analyze invalid outputs, wrong answers, latency failures, and review flag behavior.",experiments/run_medqa_error_analysis.py,results/medqa_error_analysis.csv; reports/medqa_error_analysis.md,Main Figure 4 or Supplementary error analysis,Review flags provide governance entry points for unreliable outputs.,Review flag is a proxy and is not clinician adjudication.
No cost analysis.,Report normalized inference and blockchain logging cost across backbones.,experiments/run_backbone_cost_scalability.py,results/backbone_cost_scalability.csv; figures/fig_backbone_cost_auditability_tradeoff.*,Main Table 3,Blockchain cost is bounded and becomes a smaller percentage as model inference dominates.,Use normalized cost only unless real cloud pricing is added.
LLM hallucination risk.,Clarify that blockchain does not guarantee correctness and add human review flags.,reports/medqa_error_analysis.md and manuscript text.,figures/fig_medqa_review_flag_by_failure_type.*,Limitations and governance subsection,"Audit logs support traceability; hallucination requires review, grounding, and stronger backbones.",No result is clinical validation.
Why blockchain.,Quantify auditability benefit against latency/cost overhead.,Backbone comparison and cost/auditability analysis.,figures/fig_backbone_auditability_overhead.*; results/cost_auditability_analysis.csv,System evaluation and discussion,"Blockchain adds tamper-evident logging and audit coverage, not higher answer accuracy.",Requires governance of validators and key management.
Scalability.,Connect sharding scalability with backbone cost/latency scaling.,experiments/run_backbone_cost_scalability.py plus prior sharding ablation.,results/backbone_cost_scalability.csv; results/sharding_ablation.csv,Main Figure 2 and Supplementary scalability,Backbone and blockchain scaling are separate bottlenecks that can be reported jointly.,Large-scale figures are simulation/hybrid unless deployed on real hospital infrastructure.
Limitations.,"Explicitly mark real, hybrid, simulation, and mock outputs.",reports/experiment_summary_v2.md,results/experiment_manifest_v2.json; reports/backbone_extension_plan.md,Limitations paragraph,The evidence supports system feasibility and overhead accounting.,Clinical validation and larger real benchmarks remain future work.
